series_id,trust_code,trust_name,specialty_code,specialty_name,first_month,last_month,total_months,observed_months,missing_months,missing_pct,max_consecutive_missing_months,excluded_for_insufficient_history,discontinued_series,latest_observed_month
NT213__301,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",301,Gastroenterology,2015-10-01,2025-09-01,120,105,15,12.5,6,False,True,2025-09-01
NT214__100,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",100,General Surgery,2015-10-01,2021-04-01,67,67,0,0.0,0,False,True,2021-04-01
NT214__101,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",101,Urology,2015-10-01,2024-10-01,109,23,86,78.89908256880734,86,False,True,2024-10-01
NT214__110,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NT214__130,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",130,Ophthalmology,2015-10-01,2018-04-01,31,21,10,32.25806451612903,10,True,True,2018-04-01
NT214__502,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",502,Gynaecology,2015-10-01,2024-08-01,107,35,72,67.28971962616822,60,False,True,2024-08-01
NT215__100,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,100,28,21.875,23,False,False,2026-05-01
NT215__110,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT215__320,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",320,Cardiology,2015-10-01,2026-05-01,128,110,18,14.0625,7,False,False,2026-05-01
NT218__100,NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT218__110,NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,106,22,17.1875,14,False,False,2026-05-01
NT218__340,NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",340,Thoracic Medicine,2015-10-01,2021-04-01,67,65,2,2.985074626865672,1,False,True,2021-04-01
NT219__100,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,126,2,1.5625,2,False,False,2026-05-01
NT219__101,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",101,Urology,2015-10-01,2021-04-01,67,30,37,55.223880597014926,32,False,True,2021-04-01
NT219__110,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,126,2,1.5625,2,False,False,2026-05-01
NT219__120,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",120,ENT,2015-10-01,2020-10-01,61,55,6,9.836065573770492,3,False,True,2020-10-01
NT219__502,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",502,Gynaecology,2015-10-01,2023-02-01,89,38,51,57.30337078651685,17,False,True,2023-02-01
NT222__100,NT222,"NUFFIELD HEALTH, IPSWICH HOSPITAL",100,General Surgery,2015-10-01,2016-06-01,9,9,0,0.0,0,True,True,2016-06-01
NT222__101,NT222,"NUFFIELD HEALTH, IPSWICH HOSPITAL",101,Urology,2015-10-01,2016-02-01,5,5,0,0.0,0,True,True,2016-02-01
NT222__110,NT222,"NUFFIELD HEALTH, IPSWICH HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2016-04-01,7,7,0,0.0,0,True,True,2016-04-01
NT222__130,NT222,"NUFFIELD HEALTH, IPSWICH HOSPITAL",130,Ophthalmology,2015-10-01,2016-04-01,7,7,0,0.0,0,True,True,2016-04-01
NT224__101,NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",101,Urology,2015-10-01,2026-05-01,128,26,102,79.6875,102,False,False,2026-05-01
NT224__110,NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NT224__150,NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",150,Neurosurgery,2015-10-01,2021-10-01,73,67,6,8.219178082191782,6,False,True,2021-10-01
NT225__100,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",100,General Surgery,2015-10-01,2025-11-01,122,122,0,0.0,0,False,True,2025-11-01
NT225__101,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",101,Urology,2015-10-01,2025-10-01,121,80,41,33.88429752066116,15,False,True,2025-10-01
NT225__110,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2025-11-01,122,122,0,0.0,0,False,True,2025-11-01
NT225__120,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",120,ENT,2015-10-01,2025-11-01,122,122,0,0.0,0,False,True,2025-11-01
NT225__320,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",320,Cardiology,2015-10-01,2022-08-01,83,58,25,30.120481927710845,13,False,True,2022-08-01
NT225__502,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",502,Gynaecology,2015-10-01,2025-11-01,122,102,20,16.39344262295082,13,False,True,2025-11-01
NT226__100,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,121,7,5.46875,7,False,False,2026-05-01
NT226__101,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",101,Urology,2015-10-01,2025-11-01,122,36,86,70.49180327868852,86,False,True,2025-11-01
NT226__110,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT226__120,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",120,ENT,2015-10-01,2025-03-01,114,114,0,0.0,0,False,True,2025-03-01
NT226__130,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",130,Ophthalmology,2015-10-01,2018-10-01,37,24,13,35.13513513513514,13,False,True,2018-10-01
NT226__502,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",502,Gynaecology,2015-10-01,2017-09-01,24,24,0,0.0,0,True,True,2017-09-01
NT229__100,NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,37,91,71.09375,33,False,False,2026-05-01
NT229__101,NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",101,Urology,2015-10-01,2026-04-01,127,66,61,48.031496062992126,35,False,True,2026-04-01
